Period,unknown,3G,2G,LTE
2023-06-04,85731.71715799719,69423.78375280742,375.34293165430427,1276132.9226325639
2023-06-05,78814.44494739268,64180.86217939481,345.30377047043294,1183081.2300979346
2023-06-06,76586.10096107144,64934.109006657265,348.71980542875826,1152329.8448859155
2023-06-07,77805.70792784542,63762.70348962862,332.38456507306546,1145604.7516780253
2023-06-08,78765.22134082112,63999.84403073788,335.46882162895054,1154468.2782612927
2023-06-09,81593.866935811,63857.30055014137,346.46726169623435,1169457.9366612434
2023-06-10,85926.79286135267,67997.19007002935,367.5203392235562,1237668.7143247575
2023-06-11,89373.73923109658,68028.43802147172,359.35578939318657,1235528.2288170885
2023-06-12,81484.12759180181,62365.437579821795,323.8948499429971,1137549.6335506812
2023-06-13,85686.86572340783,62859.57664093748,329.7452874965966,1130020.0060114823
2023-06-14,85635.17664638441,65750.14820281882,379.8047040142119,1164077.0838135015
2023-06-15,59883.844337665476,63479.67487438116,349.39616747479886,1184572.3473565746
2023-06-16,7751.630178146064,63073.67444326915,334.09776423778385,1238894.063406
2023-06-17,6742.729314743541,60912.69048416708,329.9295943621546,1194547.3191104736
2023-06-18,5640.666191173717,60351.541926688515,325.5173753462732,1160940.3021656163
2023-06-19,4640.839977082796,55773.04862603918,293.53662786167115,1096681.9241695385
2023-06-20,6160.276597394608,60413.239614930004,312.2697895988822,1188468.1918133516
2023-06-21,3297.34522969462,61105.830617758445,314.8986583193764,1211270.094019547
2023-06-22,6022.956430583261,58411.27741371654,307.1369861625135,1161195.4486534
2023-06-23,2450.42677996587,60538.61439370178,333.5458756443113,1188826.7947883345
2023-06-24,2319.0215081805363,61855.71228443459,319.3048354908824,1204678.306710599
2023-06-25,2294.5054995622486,63071.20751678385,328.3494005361572,1234078.2806709036
2023-06-26,2166.819474974647,60203.90709671751,318.30260392837226,1170401.41329824
2023-06-27,18029.072458644398,60699.43615272641,357.86573658231646,1162717.2763039079
2023-06-28,2645.406050422229,62341.174068963155,391.1761633027345,1148452.6834608614
2023-06-29,2384.3894561193883,65029.517246899195,427.1527754161507,1207350.6149524078
2023-06-30,3017.633563951589,66311.79780047107,418.0404911413789,1243805.3090669215
2023-07-01,2422.1986662168056,69841.8759606909,407.753505400382,1362225.1791795809
2023-07-02,2180.859754568897,70640.76275939308,391.7122559780255,1401761.484320797
2023-07-03,2781.884587961249,66442.26515986398,353.0559435086325,1335857.0835525915
2023-07-04,2859.6653179256245,65834.16509106196,344.1342429043725,1321275.383882355
2023-07-05,2300.998522605747,65492.63987482153,341.3142584571615,1289912.8820090648
2023-07-06,2290.385772035457,65681.72910657246,344.772443885915,1286635.4687588196
2023-07-07,2096.861232803203,65640.0952911377,353.4971976717934,1307702.358264234
2023-07-08,1743.4006658736616,66422.59146553185,374.7052727667615,1309279.7240538243
2023-07-09,1420.3372627245262,67054.86500699632,370.594136797823,1310976.4831680432
2023-07-10,2001.920489218086,63333.97575670108,342.13012799900025,1264858.4217586461
2023-07-11,2099.462420001626,63591.31387075782,330.34412361029536,1274084.462612141
2023-07-12,2215.567745802924,63695.4113072278,314.1313176639378,1304689.8679628503
2023-07-13,2095.898506921716,64666.24512100406,323.36166485305876,1299936.5916795097
2023-07-14,2062.1126123592257,63231.7676120121,324.9828956844285,1288316.6315264627
2023-07-15,1812.8058311659843,64222.034065339714,337.85094673745334,1300519.8410527129
2023-07-16,1593.910169923678,65661.54487825837,352.72134836390615,1310764.266850911
2023-07-17,1999.546367666684,62721.339598073624,327.08108431100845,1270241.7458144017
2023-07-18,1936.0811807848513,62763.780020733364,333.22934109624475,1279547.2327941377
2023-07-19,1555.6039771400392,63183.5446979776,341.42249095626175,1306983.372327052
2023-07-20,2049.165586450137,62233.60393041186,346.7466254783794,1288774.6786862705
2023-07-21,1695.1404239665717,63004.54044447839,347.7937442678958,1288956.8313393742
2023-07-22,1386.3410215694457,62838.585303746164,338.73963579908013,1294222.6546103042
2023-07-23,1482.221698725596,64344.47062577307,346.88163796719164,1314822.7527083084
2023-07-24,1723.5825477251783,62061.88519576937,350.22737969923764,1274089.0837723948
2023-07-25,1332.5739196566865,58916.37060412299,287.4830403942615,1186474.7253169585
2023-07-26,1670.9247055836022,58619.53855622653,277.01845653075725,1188760.5044921674
2023-07-27,1831.58728935197,62027.83545828052,293.0347788184881,1311591.4225711208
2023-07-28,1555.083006666042,62920.61575573776,300.4463397394866,1306597.20877897
2023-07-29,1313.1945541556925,63103.994699285366,319.8347293427214,1328080.6591815874
2023-07-30,1140.7487760446966,65040.81787794735,320.26902526058257,1362179.1292521171
2023-07-31,4430.964039329439,61245.08502754383,291.8263407917693,1303439.7073025722
2023-08-01,1391.563791230321,66194.5009163497,319.53101631999016,1412180.3876815457
2023-08-02,1440.4059607163072,67554.58018840943,320.0819811373949,1437626.4150802977
2023-08-03,1496.9795598937199,66452.0407128837,333.434588781558,1388775.0757136568
2023-08-04,1278.1561802355573,68191.03816483915,351.8152826819569,1391526.538624037
2023-08-05,1153.6276073446497,66961.49506604671,327.0867521231994,1391057.3082302045
2023-08-06,1016.739528466016,68935.41838360019,323.006567212753,1429402.9076526407
2023-08-07,1155.9924975363538,66652.19070693571,305.4268946060911,1381422.8256120346
2023-08-08,1132.4739185702056,66761.35454738885,305.8678247174248,1398704.036412742
2023-08-09,1307.4775638766587,67288.35585392173,303.5465874746442,1414596.9627044257
2023-08-10,1128.9657804938033,67283.27207822818,309.33460658974946,1404278.9330790471
2023-08-11,1175.838715735823,67020.51464064699,318.33087073545903,1404293.6459181737
2023-08-12,1077.1260558227077,67893.04826201312,315.1957878516987,1418010.346288709
2023-08-13,1134.7932759793475,68332.16772214603,315.32589606009424,1415371.6974020842
2023-08-14,1307.5974399084225,65730.06995924935,301.5273621054366,1385277.844635509
2023-08-15,1319.8863857872784,65749.56418486871,297.0768499476835,1390618.0190270673
2023-08-16,20160.495651883073,64501.3980719652,296.9665051503107,1368921.6006685887
2023-08-17,1773.9261382278055,64188.64339438453,310.17674568574876,1363861.900825752
2023-08-18,1620.0074117640033,65178.24667821452,319.8193864254281,1369157.9039556906
2023-08-19,1375.2634230451658,65796.91406877805,324.6507012080401,1380840.076345168
2023-08-20,1075.1495108045638,66340.27219770104,313.0735585866496,1403144.8663791362
2023-08-21,1507.2227461449802,62720.596318047494,287.75315016135573,1338476.009698594
2023-08-22,1463.9144071154296,63163.6174124917,294.7356874085963,1332852.8483043425
2023-08-23,1560.682027128525,62475.78876496665,294.71431138180196,1338958.90135712
2023-08-24,1346.0878063794225,62052.229313239455,297.07267110515386,1319923.694027923
2023-08-25,1262.252707353793,62664.024704692885,309.0659764725715,1339603.5505349934
2023-08-26,972.5931040579453,62532.91791654285,315.36499346233904,1328949.8841031827
2023-08-27,704.1903027342632,64844.9325374281,328.43864582479,1379961.4664640184
2023-08-28,1949.8849667049944,59804.630079858005,278.27356564532965,1302448.9074962307
2023-08-29,1282.0018925685436,55777.972630311735,244.8169069867581,1186277.9635216855
2023-08-30,1269.154946802184,59637.75227352325,286.1572411134839,1293389.4658314623
2023-08-31,1378.5707128420472,62414.304314672016,307.92528052069247,1297550.4449029826
2023-09-01,1298.2831560000777,66255.39425434452,314.35103844385594,1414790.902286265
2023-09-02,864.2893606731668,64796.20549006481,303.97186412569135,1416354.5724423788
2023-09-03,4727.874948613346,65600.32873208541,296.8402756154537,1444751.5222689044
2023-09-04,1752.9774194974452,61543.411676979624,283.7691281661391,1355342.36471951
2023-09-05,1711.8066920777783,63080.83364357054,291.9797497577965,1312120.475831367
2023-09-06,1861.0637468034402,64598.271412891336,295.7120818933472,1312007.9701082688
2023-09-07,1543.931789292954,62502.22027257923,280.82407354097813,1301854.6131937858
2023-09-08,1346.0944408765063,61560.109528421424,279.47527921013534,1306936.9292491488
2023-09-09,3696.991445573978,62973.8039945839,293.1059671379626,1342265.3629458416
2023-09-10,799.2271395334974,64413.90949738398,309.19997655041516,1372614.6056794748
2023-09-11,1282.3698217719793,60418.52409374062,279.23662467021495,1293868.228547033
2023-09-12,1301.0225822879001,60720.35897190031,274.99424598086625,1305224.0789503325
2023-09-13,1434.236875033006,60933.839249473065,274.62056940048933,1327064.4564603455
2023-09-14,1250.1019398029894,59521.90815237723,268.3920875135809,1291648.9547549933
2023-09-15,1211.1451244829223,59087.72409192938,271.3924963362515,1274524.821959613
2023-09-16,905.9435724709183,61277.25902384147,283.3009649403393,1324002.6588870771
2023-09-17,6346.169616212137,62478.281845291145,279.49641887657344,1352437.4113537185
2023-09-18,1663.2439316464588,56086.8081551604,254.9376526111737,1193706.842891965
2023-09-19,1597.4162800051272,57105.47007152811,266.50728666596115,1187068.7666442152
2023-09-20,715.515098744072,55606.47971553169,286.10111570730805,1150716.2903077342
2023-09-21,640.5891340570524,56605.56144088786,250.6486485907808,1211166.0328875016
2023-09-22,642.4656655173749,57532.84071794525,254.73152747750282,1244474.2692345753
2023-09-23,589.1023374358192,59873.038993705995,259.2755561815575,1311101.1844476499
2023-09-24,456.2178366817534,61396.157839182764,263.682653256692,1355637.656337358
2023-09-25,677.4748925836757,53922.969616319984,226.08927585650235,1161420.8987265546
2023-09-26,627.2966057024896,55913.056435946375,239.8702730992809,1201453.6019330472
2023-09-27,497.8067481247708,61088.85542431753,263.9285174794495,1364795.7353256643
2023-09-28,676.3961048126221,54709.71409746818,228.9130339017138,1199805.8238487225
2023-09-29,642.9571679169312,55501.44478341844,238.76265985146165,1217295.5515744444
2023-09-30,577.718620589003,58348.42827792652,248.74054759275168,1296474.5132549852
2023-10-01,478.9993189368397,63716.295984660275,273.4373060129583,1416813.1517085247
2023-10-02,683.3342008227482,56886.20874820743,236.0859202966094,1247978.7628719304
2023-10-03,685.9850638499483,57881.54666849505,237.19761924631894,1229474.027642617
2023-10-04,18231.934271618724,57884.421969990246,247.0328107215464,1201587.308426546
2023-10-05,1913.6853544469923,58258.51688237861,242.68753232993186,1205973.150583757
2023-10-06,1858.7767216097564,60034.05985508673,247.3662287183106,1242973.2835597731
2023-10-07,4028.4888856690377,63063.168533472344,262.3417375795543,1326311.758214077
2023-10-08,1732.3799361288548,65242.20437294338,258.33828515559435,1393029.3333182298
2023-10-09,1674.9332642424852,58214.658202733845,228.54093386232853,1219697.9402656853
2023-10-10,2383.348025404848,62486.71946059074,280.28648064285517,1207330.0845829863
2023-10-11,2877.335341334343,65656.45240494236,301.26222547423095,1225048.969551213
2023-10-12,2646.4070596983656,65680.51632933039,295.73955141287297,1214992.474174099
2023-10-13,2583.6437192792073,67325.20233601518,314.64775817655027,1244163.057880206
2023-10-14,3067.021149000153,68817.30263058003,313.27452024817467,1306653.4035360627
2023-10-15,2551.488495130092,69570.11662493926,319.65137896407396,1352245.5236943718
2023-10-16,3207.056031288579,64953.84876567125,283.54834072478116,1191001.6152645368
2023-10-17,3304.978971036151,67301.5004687868,315.05230637732893,1204078.571996335
2023-10-18,3393.8819850608706,72193.38028401323,344.40369976498187,1300882.0045438502
2023-10-19,2707.574358886108,65427.05303084105,297.572169884108,1225380.636091819
